VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,airport_fee
1,2022-02-01 00:26:46,2022-02-01 00:43:50,1.0,5.1,1.0,N,144,62,1,17.0,3.0,0.5,6.2,0.0,0.3,27.0,2.5,0.0
2,2022-02-01 00:09:20,2022-02-01 00:22:48,1.0,3.22,1.0,N,68,238,1,12.5,0.5,0.5,2.44,0.0,0.3,18.74,2.5,0.0
2,2022-02-01 00:30:59,2022-02-01 00:38:44,5.0,2.7,1.0,N,137,140,1,9.5,0.5,0.5,1.5,0.0,0.3,14.8,2.5,0.0
2,2022-02-01 00:40:04,2022-02-01 01:08:26,3.0,17.64,2.0,N,132,230,1,52.0,0.0,0.5,12.62,6.55,0.3,75.72,2.5,1.25
2,2022-02-01 00:30:20,2022-02-01 01:02:27,1.0,11.68,1.0,N,132,49,2,35.0,0.5,0.5,0.0,0.0,0.3,37.55,0.0,1.25
2,2022-01-31 23:49:19,2022-02-01 00:01:32,1.0,2.47,1.0,N,143,236,1,11.0,0.5,0.5,2.96,0.0,0.3,17.76,2.5,0.0
2,2022-02-01 00:46:06,2022-02-01 00:47:49,1.0,0.6,1.0,N,211,113,1,4.0,0.5,0.5,1.56,0.0,0.3,9.36,2.5,0.0
2,2022-02-01 00:07:29,2022-02-01 00:15:42,2.0,1.58,1.0,N,48,170,1,8.0,0.5,0.5,2.95,0.0,0.3,14.75,2.5,0.0
2,2022-02-01 00:27:57,2022-02-01 00:33:23,2.0,1.3,1.0,N,114,107,2,6.5,0.5,0.5,0.0,0.0,0.3,10.3,2.5,0.0
2,2022-02-01 00:44:01,2022-02-01 01:10:58,2.0,12.18,1.0,N,211,116,1,36.0,0.5,0.5,5.0,0.0,0.3,44.8,2.5,0.0
1,2022-02-01 00:30:39,2022-02-01 00:39:53,1.0,2.4,1.0,N,211,137,1,9.5,3.0,0.5,2.65,0.0,0.3,15.95,2.5,0.0
1,2022-02-01 00:50:34,2022-02-01 01:04:41,1.0,4.5,1.0,N,148,61,2,15.5,3.0,0.5,0.0,0.0,0.3,19.3,2.5,0.0
2,2022-02-01 00:01:19,2022-02-01 00:23:26,1.0,7.35,1.0,N,186,166,1,23.5,0.5,0.5,1.0,0.0,0.3,28.3,2.5,0.0
2,2022-02-01 00:42:17,2022-02-01 00:51:03,1.0,2.25,1.0,N,141,145,1,9.5,0.5,0.5,2.66,0.0,0.3,15.96,2.5,0.0
1,2022-02-01 00:52:15,2022-02-01 01:05:06,2.0,3.6,1.0,N,144,163,1,13.0,3.0,0.5,4.2,0.0,0.3,21.0,2.5,0.0
2,2022-02-01 00:05:57,2022-02-01 00:32:53,1.0,5.84,1.0,N,114,41,1,22.5,0.5,0.5,5.26,0.0,0.3,31.56,2.5,0.0
2,2022-02-01 00:54:34,2022-02-01 00:57:52,1.0,0.67,1.0,N,164,186,2,4.5,0.5,0.5,0.0,0.0,0.3,8.3,2.5,0.0
1,2022-02-01 00:03:28,2022-02-01 00:35:05,1.0,0.0,1.0,N,74,225,1,31.2,0.0,0.5,0.0,6.55,0.3,38.55,0.0,0.0
1,2022-02-01 00:00:57,2022-02-01 00:25:43,1.0,8.1,1.0,N,138,217,2,26.5,0.0,0.5,0.0,0.0,0.3,27.3,0.0,0.0
2,2022-02-01 00:01:08,2022-02-01 00:05:24,1.0,0.87,1.0,N,113,211,1,5.0,0.5,0.5,1.25,0.0,0.3,10.05,2.5,0.0
2,2022-02-01 00:36:01,2022-02-01 01:04:34,1.0,17.82,1.0,N,132,213,2,49.0,0.5,0.5,0.0,6.55,0.3,58.1,0.0,1.25
1,2022-02-01 00:09:28,2022-02-01 00:37:40,1.0,17.8,2.0,N,132,113,1,52.0,3.75,0.5,6.0,6.55,0.3,69.1,2.5,1.25
2,2022-02-01 00:40:36,2022-02-01 00:56:55,2.0,2.82,1.0,N,90,230,1,12.5,0.5,0.5,3.26,0.0,0.3,19.56,2.5,0.0
2,2022-02-01 00:15:53,2022-02-01 00:27:16,1.0,1.96,1.0,N,239,262,1,9.5,0.5,0.5,2.0,0.0,0.3,15.3,2.5,0.0
2,2022-02-01 00:47:49,2022-02-01 00:59:06,1.0,3.66,1.0,N,230,263,1,12.0,0.5,0.5,3.16,0.0,0.3,18.96,2.5,0.0
2,2022-02-01 00:10:02,2022-02-01 00:23:32,1.0,4.23,1.0,N,132,216,2,15.0,0.5,0.5,0.0,0.0,0.3,17.55,0.0,1.25
2,2022-02-01 00:48:51,2022-02-01 00:55:28,1.0,1.66,1.0,N,125,107,1,7.0,0.5,0.5,2.7,0.0,0.3,13.5,2.5,0.0
2,2022-02-01 00:59:01,2022-02-01 01:15:16,1.0,10.03,1.0,N,170,243,1,28.5,0.5,0.5,8.07,0.0,0.3,40.37,2.5,0.0
2,2022-02-01 00:11:02,2022-02-01 00:23:50,2.0,7.72,1.0,N,138,255,1,22.0,0.5,0.5,4.91,0.0,0.3,29.46,0.0,1.25
2,2022-02-01 00:34:56,2022-02-01 01:22:22,4.0,35.56,1.0,N,138,44,1,92.5,0.5,0.5,20.32,6.55,0.3,121.92,0.0,1.25
2,2022-02-01 00:26:53,2022-02-01 00:38:34,1.0,3.62,1.0,N,239,234,1,12.5,0.5,0.5,3.26,0.0,0.3,19.56,2.5,0.0
